Entity,Code,Year of smallpox eradication (WHO (1988))
Afghanistan,AFG,1972
Albania,ALB,1922
Algeria,DZA,1961
Angola,AGO,1959
Argentina,ARG,1966
Armenia,ARM,1936
Australia,AUS,1917
Austria,AUT,1923
Azerbaijan,AZE,1936
Bangladesh,BGD,1975
Belarus,BLR,1936
Belgium,BEL,1926
Belize,BLZ,1939
Benin,BEN,1969
Bhutan,BTN,1920
Bolivia,BOL,1960
Bosnia and Herzegovina,BIH,1925
Botswana,BWA,1973
Brazil,BRA,1971
Bulgaria,BGR,1923
Burkina Faso,BFA,1968
Burundi,BDI,1970
Cambodia,KHM,1959
Cameroon,CMR,1968
Canada,CAN,1944
Central African Republic,CAF,1963
Chad,TCD,1965
Chile,CHL,1954
China,CHN,1961
Colombia,COL,1965
Congo,COG,1965
Costa Rica,CRI,1920
Cote d'Ivoire,CIV,1966
Croatia,HRV,1925
Czech Republic,CZE,1924
Democratic Republic of Congo,COD,1971
Denmark,DNK,1901
Djibouti,DJI,1959
Ecuador,ECU,1963
Egypt,EGY,1948
El Salvador,SLV,1938
Equatorial Guinea,GNQ,1960
Eritrea,ERI,1976
Estonia,EST,1936
Ethiopia,ETH,1976
Finland,FIN,1922
France,FRA,1936
French Guiana,GUF,1904
Gabon,GAB,1965
Gambia,GMB,1966
Georgia,GEO,1936
Germany,DEU,1922
Ghana,GHA,1967
Greece,GRC,1944
Guatemala,GTM,1951
Guinea,GIN,1968
Guinea-Bissau,GNB,1957
Guyana,GUY,1951
Honduras,HND,1952
Hungary,HUN,1923
Iceland,ISL,1872
India,IND,1975
Indonesia,IDN,1972
Iran,IRN,1972
Iraq,IRQ,1972
Ireland,IRL,1907
Israel,ISR,1920
Italy,ITA,1947
Japan,JPN,1951
Jordan,JOR,1925
Kazakhstan,KAZ,1936
Kenya,KEN,1969
Kyrgyzstan,KGZ,1936
Laos,LAO,1953
Latvia,LVA,1936
Lebanon,LBN,1949
Lesotho,LSO,1962
Liberia,LBR,1968
Libya,LBY,1948
Lithuania,LTU,1936
Macedonia,MKD,1925
Madagascar,MDG,1918
Malawi,MWI,1971
Malaysia,MYS,1960
Mali,MLI,1968
Mauritania,MRT,1962
Mexico,MEX,1951
Moldova,MDA,1936
Morocco,MAR,1948
Mozambique,MOZ,1969
Myanmar,MMR,1965
Namibia,NAM,1955
Nepal,NPL,1975
Netherlands,NLD,1900
New Zealand,NZL,1914
Nicaragua,NIC,1924
Niger,NER,1968
Nigeria,NGA,1970
North Korea,PRK,1946
Norway,NOR,1898
Oman,OMN,1962
Pakistan,PAK,1974
Panama,PAN,1922
Paraguay,PRY,1960
Peru,PER,1966
Philippines,PHL,1949
Poland,POL,1933
Portugal,PRT,1953
Romania,ROU,1923
Russia,RUS,1936
Rwanda,RWA,1970
Saudi Arabia,SAU,1961
Senegal,SEN,1963
Serbia,SRB,1925
Sierra Leone,SLE,1969
Slovakia,SVK,1924
Slovenia,SVN,1925
Somalia,SOM,1977
South Africa,ZAF,1971
South Korea,KOR,1954
South Sudan,SSD,1972
Spain,ESP,1948
Sri Lanka,LKA,1951
Sudan,SDN,1972
Suriname,SUR,1920
Swaziland,SWZ,1966
Sweden,SWE,1895
Switzerland,CHE,1926
Syria,SYR,1950
Tajikistan,TJK,1936
Tanzania,TZA,1970
Thailand,THA,1962
Togo,TGO,1969
Tunisia,TUN,1948
Turkey,TUR,1951
Turkmenistan,TKM,1936
Uganda,UGA,1968
Ukraine,UKR,1936
United Kingdom,GBR,1934
United States,USA,1948
Uruguay,URY,1957
Uzbekistan,UZB,1936
Venezuela,VEN,1956
Vietnam,VNM,1959
Yemen,YEM,1960
Zambia,ZMB,1968
Zimbabwe,ZWE,1970